,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
193,django__django-15499,0.182,102,"['20240615_appmap-navie_gpt4o' '20240617_factory_code_droid'
 '20240628_autocoderover-v20240620'
 '20240721_amazon-q-developer-agent-20240719-dev' '20240824_gru'
 '20240918_lingma-agent_lingma-swe-gpt-72b' '20240920_solver'
 '20240924_solver' '20241001_nfactorial'
 '20241002_lingma-agent_lingma-swe-gpt-72b'
 '20241002_lingma-agent_lingma-swe-gpt-7b' '20241016_epam-ai-run-gpt-4o'
 '20241022_tools_claude-3-5-sonnet-updated' '20241023_emergent'
 '20241025_composio_swekit' '20241028_agentless-1.5_gpt4o'
 '20241028_solver' '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241029_epam-ai-run-claude-3-5-sonnet' '20240612_MASAI_gpt4o'
 '20241105_nfactorial' '20241106_navie-2-gpt4o-sonnet'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022' '20241108_devlo'
 '20241120_artemis_agent' '20241125_enginelabs'
 '20241125_marscode-agent-dev'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241202_amazon-q-developer-agent-20241202-dev' '20241208_gru'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_blackboxai_agent_v1.1'
 '20250110_learn_by_interact_claude3.5' '20250112_ugaiforge'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250214_agentless_lite_o3_mini' '20250224_tools_claude-3-7-sonnet'
 '20250225_sweagent_claude-3-7-sonnet' '20250226_swerl_llama3_70b'
 '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250511_sweagent_lm_32b'
 '20250514_aime_coder' '20250515_Refact_Agent' '20250516_cortexa_o3'
 '20250519_devlo' '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250527_amazon.nova-premier-v1.0'
 '20250528_patchpilot_Co-PatcheR' '20250603_Refact_Agent_claude-4-sonnet'
 '20250610_augment_agent_v1' '20250611_moatless_claude-4-sonnet-20250514'
 '20250612_trae' '20250405_swe-rizzo_claude37' '20250616_Skywork-SWE-32B'
 '20250623_warp' '20250627_agentless_MCTS-Refine-7B'
 '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250725_sweagent_devstral_small_2507' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_codesweep_sweagent_kimi_k2_instruct'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250806_SWE-Exp_DeepSeek-V3' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.8292682926829268,0.8292682926829268,0.44689993354919194,django__django-15499
194,django__django-15503,0.642,16,"['20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250610_augment_agent_v1'
 '20250611_moatless_claude-4-sonnet-20250514' '20250612_trae'
 '20250623_warp' '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250728_zai_glm4-5' '20250731_harness_ai'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250930_zai_glm4-6']",0.13008130081300814,0.13008130081300814,0.4165689514502978,django__django-15503
195,django__django-15525,0.07,66,"['20240402_rag_claude3opus' '20241022_tools_claude-3-5-sonnet-updated'
 '20241028_solver' '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241106_navie-2-gpt4o-sonnet'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022'
 '20241125_enginelabs' '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20250110_learn_by_interact_claude3.5'
 '20250117_wandb_programmer_o1_crosscheck5' '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250214_agentless_lite_o3_mini' '20250224_tools_claude-3-7-sonnet'
 '20250225_sweagent_claude-3-7-sonnet'
 '20250228_epam-ai-run-claude-3-5-sonnet' '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250515_Refact_Agent'
 '20250516_cortexa_o3' '20250519_devlo' '20250519_trae'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250528_patchpilot_Co-PatcheR'
 '20250603_Refact_Agent_claude-4-sonnet' '20250610_augment_agent_v1'
 '20250611_moatless_claude-4-sonnet-20250514' '20250612_trae'
 '20250405_swe-rizzo_claude37' '20250616_Skywork-SWE-32B+TTS_Bo8'
 '20250616_Skywork-SWE-32B' '20250623_warp'
 '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250806_SWE-Exp_DeepSeek-V3' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250901_entroPO_R2E_QwenCoder30BA3B' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.5365853658536586,0.5365853658536586,0.5988069646041545,django__django-15525
196,django__django-15554,0.632,19,"['20250224_tools_claude-3-7-sonnet'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250415_openhands'
 '20250503_patchpilot-v1.1-o4-mini' '20250514_aime_coder' '20250519_trae'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250611_moatless_claude-4-sonnet-20250514' '20250612_trae'
 '20250623_warp' '20250715_qodo_command'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514' '20250731_harness_ai'
 '20250804_epam-ai-run-claude-4-sonnet' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250928_trae_doubao_seed_code']",0.15447154471544716,0.15447154471544716,0.4486382524072871,django__django-15554
197,django__django-15561,0.302,91,"['20240620_sweagent_claude3.5sonnet'
 '20240721_amazon-q-developer-agent-20240719-dev' '20240824_gru'
 '20240920_solver' '20240924_solver' '20241016_composio_swekit'
 '20241022_tools_claude-3-5-haiku'
 '20241022_tools_claude-3-5-sonnet-updated' '20241025_composio_swekit'
 '20241028_agentless-1.5_gpt4o' '20241028_solver'
 '20241029_OpenHands-CodeAct-2.1-sonnet-20241022' '20241105_nfactorial'
 '20241106_navie-2-gpt4o-sonnet'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022' '20241108_devlo'
 '20241113_nebius-search-open-weight-models-11-24'
 '20241120_artemis_agent' '20241125_enginelabs'
 '20241125_marscode-agent-dev'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241202_amazon-q-developer-agent-20241202-dev'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_blackboxai_agent_v1.1'
 '20250110_learn_by_interact_claude3.5' '20250112_ugaiforge'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250214_agentless_lite_o3_mini' '20250224_tools_claude-3-7-sonnet'
 '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250511_sweagent_lm_32b'
 '20250514_aime_coder' '20250515_Refact_Agent' '20250516_cortexa_o3'
 '20250519_devlo' '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250527_amazon.nova-premier-v1.0'
 '20250528_patchpilot_Co-PatcheR' '20250603_Refact_Agent_claude-4-sonnet'
 '20250610_augment_agent_v1' '20250611_moatless_claude-4-sonnet-20250514'
 '20250612_trae' '20250405_swe-rizzo_claude37'
 '20250616_Skywork-SWE-32B+TTS_Bo8' '20250616_Skywork-SWE-32B'
 '20250623_warp' '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_codesweep_sweagent_kimi_k2_instruct'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250806_SWE-Exp_DeepSeek-V3' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.7398373983739838,0.7398373983739838,0.5457769913045418,django__django-15561
198,django__django-15563,0.46,12,"['20250110_blackboxai_agent_v1.1' '20250110_learn_by_interact_claude3.5'
 '20250228_epam-ai-run-claude-3-5-sonnet' '20250430_zencoder_ai'
 '20250514_aime_coder' '20250522_sweagent_claude-4-sonnet-20250514'
 '20250528_patchpilot_Co-PatcheR'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250804_codesweep_sweagent_kimi_k2_instruct'
 '20250804_epam-ai-run-claude-4-sonnet' '20250928_trae_doubao_seed_code'
 '20250930_zai_glm4-6']",0.0975609756097561,0.0975609756097561,0.2342312493416969,django__django-15563
199,django__django-15569,0.102,111,"['20240402_sweagent_claude3opus'
 '20240509_amazon-q-developer-agent-20240430-dev'
 '20240615_appmap-navie_gpt4o' '20240617_factory_code_droid'
 '20240620_sweagent_claude3.5sonnet' '20240628_autocoderover-v20240620'
 '20240721_amazon-q-developer-agent-20240719-dev' '20240820_honeycomb'
 '20240824_gru' '20240918_lingma-agent_lingma-swe-gpt-72b'
 '20240918_lingma-agent_lingma-swe-gpt-7b' '20240920_solver'
 '20240924_solver' '20241002_lingma-agent_lingma-swe-gpt-72b'
 '20241002_lingma-agent_lingma-swe-gpt-7b' '20241007_nfactorial'
 '20241016_composio_swekit' '20241016_epam-ai-run-gpt-4o'
 '20241022_tools_claude-3-5-haiku'
 '20241022_tools_claude-3-5-sonnet-updated' '20241023_emergent'
 '20241025_composio_swekit' '20241028_agentless-1.5_gpt4o'
 '20241028_solver' '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241029_epam-ai-run-claude-3-5-sonnet' '20240612_MASAI_gpt4o'
 '20241030_nfactorial' '20241105_nfactorial'
 '20241106_navie-2-gpt4o-sonnet'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022' '20241108_devlo'
 '20241113_nebius-search-open-weight-models-11-24'
 '20241120_artemis_agent' '20241125_enginelabs'
 '20241125_marscode-agent-dev'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241202_amazon-q-developer-agent-20241202-dev' '20241208_gru'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_blackboxai_agent_v1.1'
 '20250110_learn_by_interact_claude3.5' '20250112_ugaiforge'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250214_agentless_lite_o3_mini' '20250224_tools_claude-3-7-sonnet'
 '20250225_sweagent_claude-3-7-sonnet'
 '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250511_sweagent_lm_32b'
 '20250514_aime_coder' '20250515_Refact_Agent' '20250516_cortexa_o3'
 '20250519_devlo' '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250527_amazon.nova-premier-v1.0'
 '20250528_patchpilot_Co-PatcheR' '20250603_Refact_Agent_claude-4-sonnet'
 '20250610_augment_agent_v1' '20250611_moatless_claude-4-sonnet-20250514'
 '20250612_trae' '20250405_swe-rizzo_claude37'
 '20250616_Skywork-SWE-32B+TTS_Bo8' '20250616_Skywork-SWE-32B'
 '20250623_warp' '20250629_deepswerl_r2eagent'
 '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250725_sweagent_devstral_small_2507' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_codesweep_sweagent_kimi_k2_instruct'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250806_SWE-Exp_DeepSeek-V3' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.9024390243902439,0.9024390243902439,0.3949284664137406,django__django-15569
200,django__django-15572,0.224,91,"['20240402_sweagent_gpt4' '20240615_appmap-navie_gpt4o'
 '20240620_sweagent_claude3.5sonnet'
 '20240721_amazon-q-developer-agent-20240719-dev'
 '20240728_sweagent_gpt4o' '20240820_epam-ai-run-gpt-4o'
 '20240820_honeycomb' '20240824_gru'
 '20240918_lingma-agent_lingma-swe-gpt-72b' '20240924_solver'
 '20241002_lingma-agent_lingma-swe-gpt-72b' '20241016_composio_swekit'
 '20241016_epam-ai-run-gpt-4o' '20241023_emergent'
 '20241025_composio_swekit'
 '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241029_epam-ai-run-claude-3-5-sonnet' '20241030_nfactorial'
 '20241106_navie-2-gpt4o-sonnet'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022' '20241108_devlo'
 '20241113_nebius-search-open-weight-models-11-24' '20241125_enginelabs'
 '20241202_amazon-q-developer-agent-20241202-dev' '20241208_gru'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_blackboxai_agent_v1.1'
 '20250110_learn_by_interact_claude3.5' '20250112_ugaiforge'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket' '20250206_agentscope'
 '20250214_agentless_lite_o3_mini' '20250224_tools_claude-3-7-sonnet'
 '20250225_sweagent_claude-3-7-sonnet' '20250226_swerl_llama3_70b'
 '20250228_epam-ai-run-claude-3-5-sonnet' '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250511_sweagent_lm_32b'
 '20250514_aime_coder' '20250515_Refact_Agent' '20250516_cortexa_o3'
 '20250519_devlo' '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250528_patchpilot_Co-PatcheR'
 '20250603_Refact_Agent_claude-4-sonnet' '20250610_augment_agent_v1'
 '20250611_moatless_claude-4-sonnet-20250514' '20250612_trae'
 '20250405_swe-rizzo_claude37' '20250616_Skywork-SWE-32B+TTS_Bo8'
 '20250616_Skywork-SWE-32B' '20250623_warp' '20250629_deepswerl_r2eagent'
 '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250725_sweagent_devstral_small_2507' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250806_SWE-Exp_DeepSeek-V3' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250928_trae_doubao_seed_code' '20250929_Prometheus_v1.2_gpt5'
 '20250930_zai_glm4-6']",0.7398373983739838,0.7398373983739838,0.4300191062674434,django__django-15572
201,django__django-15629,,0,[],0.0,0.0,,django__django-15629
202,django__django-15695,0.466,8,"['20241023_emergent' '20250110_learn_by_interact_claude3.5'
 '20250224_tools_claude-3-7-sonnet' '20250316_augment_agent_v0'
 '20250519_trae' '20250522_tools_claude-4-opus' '20250807_openhands_gpt5'
 '20250924_artemis_agent_v2']",0.06504065040650407,0.06504065040650407,0.16361227647367604,django__django-15695
203,django__django-15731,0.07,106,"['20240402_rag_claude3opus' '20240402_sweagent_claude3opus'
 '20240402_sweagent_gpt4' '20240615_appmap-navie_gpt4o'
 '20240617_factory_code_droid' '20240620_sweagent_claude3.5sonnet'
 '20240721_amazon-q-developer-agent-20240719-dev'
 '20240728_sweagent_gpt4o' '20240820_epam-ai-run-gpt-4o'
 '20240820_honeycomb' '20240824_gru' '20240920_solver' '20240924_solver'
 '20241002_lingma-agent_lingma-swe-gpt-7b' '20241007_nfactorial'
 '20241016_composio_swekit' '20241016_epam-ai-run-gpt-4o'
 '20241022_tools_claude-3-5-haiku'
 '20241022_tools_claude-3-5-sonnet-updated' '20241023_emergent'
 '20241025_composio_swekit' '20241028_agentless-1.5_gpt4o'
 '20241028_solver' '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20240612_MASAI_gpt4o' '20241030_nfactorial' '20241105_nfactorial'
 '20241106_navie-2-gpt4o-sonnet'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022' '20241108_devlo'
 '20241113_nebius-search-open-weight-models-11-24'
 '20241120_artemis_agent' '20241125_enginelabs'
 '20241125_marscode-agent-dev'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241202_amazon-q-developer-agent-20241202-dev' '20241208_gru'
 '20241212_epam-ai-run-claude-3-5-sonnet' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_blackboxai_agent_v1.1'
 '20250110_learn_by_interact_claude3.5' '20250112_ugaiforge'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250224_tools_claude-3-7-sonnet' '20250225_sweagent_claude-3-7-sonnet'
 '20250226_swerl_llama3_70b' '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250511_sweagent_lm_32b'
 '20250514_aime_coder' '20250515_Refact_Agent' '20250516_cortexa_o3'
 '20250519_devlo' '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250527_amazon.nova-premier-v1.0'
 '20250603_Refact_Agent_claude-4-sonnet' '20250610_augment_agent_v1'
 '20250611_moatless_claude-4-sonnet-20250514' '20250612_trae'
 '20250405_swe-rizzo_claude37' '20250616_Skywork-SWE-32B+TTS_Bo8'
 '20250616_Skywork-SWE-32B' '20250623_warp' '20250629_deepswerl_r2eagent'
 '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250725_sweagent_devstral_small_2507' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_codesweep_sweagent_kimi_k2_instruct'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250807_openhands_gpt5' '20250819_ACoder'
 '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.8617886178861789,0.8617886178861789,0.38014503546876516,django__django-15731
204,django__django-15732,0.32,15,"['20241023_emergent' '20241105_nfactorial' '20241106_navie-2-gpt4o-sonnet'
 '20241120_artemis_agent'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241212_google_jules_gemini_2.0_flash_experimental'
 '20250224_tools_claude-3-7-sonnet' '20250503_patchpilot-v1.1-o4-mini'
 '20250610_augment_agent_v1' '20250623_warp'
 '20250804_epam-ai-run-claude-4-sonnet' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250902_atlassian-rovo-dev'
 '20250929_Prometheus_v1.2_gpt5']",0.12195121951219512,0.12195121951219512,0.19945938335776922,django__django-15732
